3,6,12,22,26,35
6,19,38,40,41,44
14,21,24,28,31,40
6,8,13,17,20,34
12,21,23,27,31,34
1,14,19,26,41,42
5,10,13,19,25,44
8,19,25,31,37,40
4,11,19,25,32,40
3,7,15,27,41,45
17,19,21,23,36,40
8,10,12,29,30,42
5,16,19,23,29,37
18,23,24,26,29,33
1,5,14,16,36,38
12,31,32,34,35,43
5,19,27,32,41,45
2,10,14,19,23,37
5,7,18,26,30,36
1,5,13,27,40,45
2,7,14,28,42,45
4,7,9,10,30,40
12,26,27,33,36,37
1,9,18,28,36,44
5,6,24,33,42,45
1,10,11,24,32,37
2,4,27,28,31,36
9,10,12,22,27,41
1,6,10,29,32,41
4,8,17,23,27,34
6,18,21,22,37,45
4,6,11,13,24,31
19,30,34,38,42,44
8,14,19,30,33,35
3,13,14,26,30,34
2,8,17,20,29,39
9,13,19,21,27,30
1,5,9,14,30,31
9,13,17,22,26,33
3,8,25,37,40,42
4,7,16,27,40,41
13,14,17,24,28,43
4,7,19,24,32,38
27,36,39,43,44,45
2,11,15,32,40,44
3,7,29,31,34,43
